task,method,label,seed,selected_threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall,cuda_visible_devices,visible_gpu_count
border_easy,baseline,Baseline LoRA,42,0.500000000000000,1.00000000,1.000000000000000,0.99218750,0.992125984251969,1.000000000000000,0.98437500,3,1
border_easy,baseline,Baseline LoRA,43,0.424351930618286,1.00000000,1.000000000000000,0.98828125,0.988142292490119,1.000000000000000,0.97656250,3,1
border_easy,baseline,Baseline LoRA,44,0.500000000000000,1.00000000,1.000000000000000,1.00000000,1.000000000000000,1.000000000000000,1.00000000,3,1
border_easy,baseline,Baseline LoRA,45,0.500000000000000,1.00000000,1.000000000000000,0.99609375,0.996078431372549,1.000000000000000,0.99218750,3,1
border_easy,baseline,Baseline LoRA,46,0.500000000000000,1.00000000,1.000000000000000,0.98437500,0.984126984126984,1.000000000000000,0.96875000,3,1
border_easy,germ_bo,GERM-BO final,42,0.500000000000000,1.00000000,1.000000000000000,0.99609375,0.996108949416342,0.992248062015504,1.00000000,3,1
border_easy,germ_bo,GERM-BO final,43,0.535611629486084,0.99609375,0.996108949416342,0.98046875,0.980079681274900,1.000000000000000,0.96093750,3,1
border_easy,germ_bo,GERM-BO final,44,0.500000000000000,1.00000000,1.000000000000000,0.99609375,0.996078431372549,1.000000000000000,0.99218750,3,1
border_easy,germ_bo,GERM-BO final,45,0.474111378192902,0.98828125,0.988235294117647,0.97656250,0.976190476190476,0.991935483870968,0.96093750,3,1
border_easy,germ_bo,GERM-BO final,46,0.500000000000000,1.00000000,1.000000000000000,0.99218750,0.992125984251969,1.000000000000000,0.98437500,3,1
border_medium,baseline,Baseline LoRA,42,0.191278040409088,0.90625000,0.910447761194030,0.92578125,0.928838951310861,0.892086330935252,0.96875000,3,1
border_medium,baseline,Baseline LoRA,43,0.486417353153229,0.85546875,0.859315589353612,0.85546875,0.862453531598513,0.822695035460993,0.90625000,3,1
border_medium,baseline,Baseline LoRA,44,0.446788460016251,0.85156250,0.851562500000000,0.87890625,0.880308880308880,0.870229007633588,0.89062500,3,1
border_medium,baseline,Baseline LoRA,45,0.497428655624390,0.87890625,0.877470355731225,0.87109375,0.874524714828897,0.851851851851852,0.89843750,3,1
border_medium,baseline,Baseline LoRA,46,0.469381511211395,0.89843750,0.895161290322581,0.89843750,0.898437500000000,0.898437500000000,0.89843750,3,1
border_medium,germ_bo,GERM-BO final,42,0.485083818435669,0.87500000,0.882352941176471,0.82421875,0.837545126353791,0.778523489932886,0.90625000,3,1
border_medium,germ_bo,GERM-BO final,43,0.512858688831329,0.87890625,0.882129277566540,0.87890625,0.884758364312268,0.843971631205674,0.92968750,3,1
border_medium,germ_bo,GERM-BO final,44,0.451678097248077,0.88671875,0.892988929889299,0.86328125,0.873646209386282,0.812080536912752,0.94531250,3,1
border_medium,germ_bo,GERM-BO final,45,0.474087595939636,0.90234375,0.901960784313726,0.89453125,0.898876404494382,0.863309352517986,0.93750000,3,1
border_medium,germ_bo,GERM-BO final,46,0.465697675943375,0.70312500,0.712121212121212,0.65234375,0.664150943396226,0.642335766423358,0.68750000,3,1
border_hard,baseline,Baseline LoRA,42,0.522102952003479,0.84765625,0.843373493975904,0.84765625,0.842105263157895,0.873949579831933,0.81250000,3,1
border_hard,baseline,Baseline LoRA,43,0.470530271530151,0.88281250,0.885496183206107,0.85546875,0.861423220973783,0.827338129496403,0.89843750,3,1
border_hard,baseline,Baseline LoRA,44,0.410075575113297,0.88671875,0.893772893772894,0.83203125,0.843636363636364,0.789115646258503,0.90625000,3,1
border_hard,baseline,Baseline LoRA,45,0.477399110794067,0.89062500,0.894736842105263,0.85546875,0.860377358490566,0.832116788321168,0.89062500,3,1
border_hard,baseline,Baseline LoRA,46,0.490238130092621,0.79296875,0.790513833992095,0.78906250,0.775000000000000,0.830357142857143,0.72656250,3,1
border_hard,germ_bo,GERM-BO final,42,0.484665066003799,0.88281250,0.888059701492537,0.84765625,0.857142857142857,0.806896551724138,0.91406250,3,1
border_hard,germ_bo,GERM-BO final,43,0.484129548072815,0.82812500,0.835820895522388,0.79687500,0.801526717557252,0.783582089552239,0.82031250,3,1
border_hard,germ_bo,GERM-BO final,44,0.488118320703506,0.88281250,0.885496183206107,0.87109375,0.875471698113208,0.846715328467153,0.90625000,3,1
border_hard,germ_bo,GERM-BO final,45,0.497237741947174,0.86718750,0.871212121212121,0.82031250,0.828358208955224,0.792857142857143,0.86718750,3,1
border_hard,germ_bo,GERM-BO final,46,0.485572755336761,0.89843750,0.900000000000000,0.86328125,0.867924528301887,0.839416058394161,0.89843750,3,1
