run_group,seed,config,threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall,val_pred0,val_pred1,test_pred0,test_pred1
original_final,42,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.485083818435669,0.87500000,0.882352941176471,0.82421875,0.837545126353791,0.778523489932886,0.90625000,112,144,107,149
original_final,43,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.512858688831329,0.87890625,0.882129277566540,0.87890625,0.884758364312268,0.843971631205674,0.92968750,121,135,115,141
original_final,44,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.451678097248077,0.88671875,0.892988929889299,0.86328125,0.873646209386282,0.812080536912752,0.94531250,113,143,107,149
original_final,45,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.474087595939636,0.90234375,0.901960784313726,0.89453125,0.898876404494382,0.863309352517986,0.93750000,129,127,117,139
original_final,46,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.465697675943375,0.70312500,0.712121212121212,0.65234375,0.664150943396226,0.642335766423358,0.68750000,120,136,119,137
final_extension,47,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.375536829233170,0.90234375,0.905660377358491,0.91406250,0.917293233082707,0.884057971014493,0.95312500,119,137,118,138
final_extension,48,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.507350564002991,0.86718750,0.865079365079365,0.87109375,0.871595330739300,0.868217054263566,0.87500000,132,124,127,129
final_extension,49,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.415829569101334,0.89062500,0.888000000000000,0.89062500,0.889763779527559,0.896825396825397,0.88281250,134,122,130,126
final_extension,50,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.522696793079376,0.91406250,0.907563025210084,0.90625000,0.899159663865546,0.972727272727273,0.83593750,146,110,146,110
final_extension,51,configs/real_dnabert2_germ_bo_border_medium_5seed.yaml,0.456909149885178,0.87890625,0.875502008032129,0.89843750,0.893442622950820,0.939655172413793,0.85156250,135,121,140,116
comp027_patience4,46,configs/real_dnabert2_germ_bo_border_medium_comp027_patience4.yaml,0.385194271802902,0.93359375,0.931726907630522,0.96093750,0.959677419354839,0.991666666666667,0.92968750,135,121,136,120
comp015,46,configs/real_dnabert2_germ_bo_border_medium_comp015_5seed.yaml,0.479627579450607,0.90234375,0.897959183673469,0.91406250,0.909836065573770,0.956896551724138,0.86718750,139,117,140,116
comp020,46,configs/real_dnabert2_germ_bo_border_medium_comp020_5seed.yaml,0.441494494676590,0.87500000,0.876923076923077,0.91406250,0.916030534351145,0.895522388059702,0.93750000,124,132,122,134
