task,comp,label,seed,threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall,pred_0,pred_1,cuda_visible_devices,visible_gpu_count,selected_device,selected_gpu_name
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",47,0.3360477685928345,0.91796875,0.9156626506024097,0.9140625,0.9140625,0.9140625,0.9140625,128,128,3,1,cuda:0,NVIDIA H20
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",48,0.4992091953754425,0.92578125,0.9224489795918367,0.9375,0.9365079365079365,0.9516129032258065,0.921875,132,124,3,1,cuda:0,NVIDIA H20
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",49,0.3971714675426483,0.87890625,0.8803088803088803,0.89453125,0.896551724137931,0.8796992481203008,0.9140625,123,133,3,1,cuda:0,NVIDIA H20
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",50,0.5226967930793762,0.9140625,0.9075630252100839,0.90625,0.8991596638655464,0.9727272727272728,0.8359375,146,110,3,1,cuda:0,NVIDIA H20
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",51,0.4569091498851776,0.87890625,0.8755020080321286,0.8984375,0.8934426229508198,0.9396551724137931,0.8515625,140,116,3,1,cuda:0,NVIDIA H20
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",52,0.526272714138031,0.9375,0.9375,0.93359375,0.933852140077821,0.9302325581395349,0.9375,127,129,3,1,cuda:0,NVIDIA H20
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",53,0.4640439748764038,0.90625,0.9069767441860466,0.93359375,0.933852140077821,0.9302325581395349,0.9375,127,129,3,1,cuda:0,NVIDIA H20
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",54,0.4654059410095215,0.9140625,0.9112903225806451,0.921875,0.9212598425196851,0.9285714285714286,0.9140625,130,126,3,1,cuda:0,NVIDIA H20
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",47,0.5433639883995056,0.91015625,0.904564315352697,0.94140625,0.9402390438247011,0.959349593495935,0.921875,133,123,3,1,cuda:0,NVIDIA H20
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",48,0.4421382546424866,0.890625,0.890625,0.8984375,0.8984375,0.8984375,0.8984375,128,128,3,1,cuda:0,NVIDIA H20
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",49,0.3656931519508362,0.87109375,0.8764044943820224,0.81640625,0.829090909090909,0.7755102040816326,0.890625,109,147,3,1,cuda:0,NVIDIA H20
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",50,0.26717373728752136,0.9296875,0.9285714285714286,0.953125,0.9534883720930233,0.9461538461538461,0.9609375,126,130,3,1,cuda:0,NVIDIA H20
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",51,0.4777284562587738,0.9140625,0.9166666666666666,0.9296875,0.931297709923664,0.9104477611940298,0.953125,122,134,3,1,cuda:0,NVIDIA H20
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",52,0.35072627663612366,0.90625,0.9047619047619047,0.88671875,0.8871595330739299,0.8837209302325582,0.890625,127,129,3,1,cuda:0,NVIDIA H20
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",53,0.24278010427951813,0.9375,0.9384615384615383,0.91796875,0.9207547169811321,0.8905109489051095,0.953125,119,137,3,1,cuda:0,NVIDIA H20
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",54,0.5593884587287903,0.9140625,0.9147286821705427,0.94921875,0.9498069498069499,0.9389312977099237,0.9609375,125,131,3,1,cuda:0,NVIDIA H20
border_hard,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",47,0.4197102189064026,0.875,0.880597014925373,0.83203125,0.8447653429602889,0.785234899328859,0.9140625,107,149,3,1,cuda:0,NVIDIA H20
border_hard,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",48,0.4973665475845337,0.77734375,0.7896678966789668,0.74609375,0.7450980392156863,0.7480314960629921,0.7421875,129,127,3,1,cuda:0,NVIDIA H20
border_hard,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",49,0.4473603665828705,0.9140625,0.9153846153846155,0.87109375,0.8745247148288974,0.8518518518518519,0.8984375,121,135,3,1,cuda:0,NVIDIA H20
border_hard,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",50,0.44392865896224976,0.87890625,0.8803088803088803,0.80859375,0.8078431372549021,0.8110236220472441,0.8046875,129,127,3,1,cuda:0,NVIDIA H20
