method,label,seed,selected_threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall
germ_bo_candidate_attn_output_classifier,GERM-BO candidate: attention.output + classifier,50,0.500000000000000,0.89453125,0.893280632411067,0.90625000,0.906250000000000,0.906250000000000,0.90625000
germ_bo_candidate_attn_output_classifier,GERM-BO candidate: attention.output + classifier,51,0.488207787275314,0.91015625,0.902953586497890,0.90234375,0.897119341563786,0.947826086956522,0.85156250
germ_bo_candidate_attn_output_classifier,GERM-BO candidate: attention.output + classifier,52,0.429808020591736,0.91796875,0.912133891213389,0.88281250,0.876033057851240,0.929824561403509,0.82812500
germ_bo_candidate_attn_output_classifier,GERM-BO candidate: attention.output + classifier,53,0.496293425559998,0.90234375,0.897959183673469,0.85546875,0.842553191489362,0.925233644859813,0.77343750
germ_bo_candidate_attn_output_classifier,GERM-BO candidate: attention.output + classifier,54,0.494316697120667,0.85156250,0.845528455284553,0.87500000,0.872000000000000,0.893442622950820,0.85156250
germ_bo_main_wqkv_classifier,GERM-BO main: Wqkv + classifier,50,0.480905443429947,0.91406250,0.914728682170543,0.89062500,0.889763779527559,0.896825396825397,0.88281250
germ_bo_main_wqkv_classifier,GERM-BO main: Wqkv + classifier,51,0.466983795166016,0.67578125,0.693726937269373,0.67578125,0.702508960573477,0.649006622516556,0.76562500
germ_bo_main_wqkv_classifier,GERM-BO main: Wqkv + classifier,52,0.417056322097778,0.88281250,0.889705882352941,0.86328125,0.871794871794872,0.820689655172414,0.92968750
germ_bo_main_wqkv_classifier,GERM-BO main: Wqkv + classifier,53,0.433973997831345,0.90625000,0.903225806451613,0.90625000,0.903225806451613,0.933333333333333,0.87500000
germ_bo_main_wqkv_classifier,GERM-BO main: Wqkv + classifier,54,0.521989703178406,0.84765625,0.844621513944223,0.82421875,0.817813765182186,0.848739495798319,0.78906250
