metric,seed,baseline,germ_bo_final,delta
test_accuracy,42,0.82812500,0.91015625,0.08203125
test_accuracy,43,0.84765625,0.92187500,0.07421875
test_accuracy,44,0.84375000,0.84765625,0.00390625
test_accuracy,45,0.88281250,0.89843750,0.01562500
test_accuracy,46,0.73437500,0.92968750,0.19531250
test_accuracy,47,0.73046875,0.89062500,0.16015625
test_accuracy,48,0.88671875,0.91015625,0.02343750
test_accuracy,49,0.85156250,0.86328125,0.01171875
test_accuracy,50,0.87109375,0.90625000,0.03515625
test_accuracy,51,0.91015625,0.90234375,-0.00781250
test_accuracy,52,0.79687500,0.88281250,0.08593750
test_accuracy,53,0.85546875,0.85546875,0.00000000
test_accuracy,54,0.85156250,0.87500000,0.02343750
test_f1,42,0.83206107,0.90763052,0.07556945
test_f1,43,0.86021505,0.92125984,0.06104479
test_f1,44,0.85611511,0.85171103,-0.00440408
test_f1,45,0.88095238,0.89922481,0.01827243
test_f1,46,0.71186441,0.93129771,0.21943330
test_f1,47,0.64615385,0.89230769,0.24615385
test_f1,48,0.88446215,0.91050584,0.02604369
test_f1,49,0.84426230,0.85714286,0.01288056
test_f1,50,0.86530612,0.90625000,0.04094388
test_f1,51,0.90688259,0.89711934,-0.00976325
test_f1,52,0.81159420,0.87603306,0.06443885
test_f1,53,0.85140562,0.84255319,-0.00885243
test_f1,54,0.83898305,0.87200000,0.03301695
test_precision,42,0.81343284,0.93388430,0.12045146
test_precision,43,0.79470199,0.92857143,0.13386944
test_precision,44,0.79333333,0.82962963,0.03629630
test_precision,45,0.89516129,0.89230769,-0.00285360
test_precision,46,0.77777778,0.91044776,0.13266998
test_precision,47,0.94029851,0.87878788,-0.06151063
test_precision,48,0.90243902,0.90697674,0.00453772
test_precision,49,0.88793103,0.89743590,0.00950486
test_precision,50,0.90598291,0.90625000,0.00026709
test_precision,51,0.94117647,0.94782609,0.00664962
test_precision,52,0.75675676,0.92982456,0.17306780
test_precision,53,0.87603306,0.92523364,0.04920059
test_precision,54,0.91666667,0.89344262,-0.02322404
test_recall,42,0.85156250,0.88281250,0.03125000
test_recall,43,0.93750000,0.91406250,-0.02343750
test_recall,44,0.92968750,0.87500000,-0.05468750
test_recall,45,0.86718750,0.90625000,0.03906250
test_recall,46,0.65625000,0.95312500,0.29687500
test_recall,47,0.49218750,0.90625000,0.41406250
test_recall,48,0.86718750,0.91406250,0.04687500
test_recall,49,0.80468750,0.82031250,0.01562500
test_recall,50,0.82812500,0.90625000,0.07812500
test_recall,51,0.87500000,0.85156250,-0.02343750
test_recall,52,0.87500000,0.82812500,-0.04687500
test_recall,53,0.82812500,0.77343750,-0.05468750
test_recall,54,0.77343750,0.85156250,0.07812500
