variant,label,target_modules,seed,selected_threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall,test_tp,test_fp,test_tn,test_fn,cuda_visible_devices,visible_gpu_count
attn_output_classifier,attention.output + classifier,layer0/1 attention.output.dense + classifier,42,0.562065005302429,0.90234375,0.898785425101215,0.91015625,0.907630522088353,0.933884297520661,0.8828125,113,8,120,15,3,1
attn_output_classifier,attention.output + classifier,layer0/1 attention.output.dense + classifier,43,0.164150223135948,0.9140625,0.911290322580645,0.921875,0.921259842519685,0.928571428571429,0.9140625,117,9,119,11,3,1
attn_output_classifier,attention.output + classifier,layer0/1 attention.output.dense + classifier,44,0.381630808115005,0.84765625,0.847058823529412,0.84765625,0.851711026615970,0.829629629629630,0.875,112,23,105,16,3,1
classifier_only,Classifier only,classifier,42,0.474187314510345,0.90234375,0.899598393574297,0.875,0.874015748031496,0.880952380952381,0.8671875,111,15,113,17,3,1
classifier_only,Classifier only,classifier,43,0.371707111597061,0.87890625,0.884758364312268,0.8828125,0.888059701492537,0.850000000000000,0.9296875,119,21,107,9,3,1
classifier_only,Classifier only,classifier,44,0.456211119890213,0.87890625,0.873469387755102,0.86328125,0.858299595141701,0.890756302521008,0.828125,106,13,115,22,3,1
full_wqkv_attn_output_classifier,Wqkv + attention.output + classifier,layer0/1 Wqkv + layer0/1 attention.output.dense + classifier,42,0.491101443767548,0.87109375,0.866396761133603,0.85546875,0.853754940711463,0.864000000000000,0.84375,108,17,111,20,3,1
full_wqkv_attn_output_classifier,Wqkv + attention.output + classifier,layer0/1 Wqkv + layer0/1 attention.output.dense + classifier,43,0.432188421487808,0.82421875,0.830188679245283,0.8515625,0.857142857142857,0.826086956521739,0.890625,114,24,104,14,3,1
full_wqkv_attn_output_classifier,Wqkv + attention.output + classifier,layer0/1 Wqkv + layer0/1 attention.output.dense + classifier,44,0.452012538909912,0.859375,0.843478260869565,0.87890625,0.869198312236287,0.944954128440367,0.8046875,103,6,122,25,3,1
wqkv_classifier,Wqkv + classifier,layer0/1 Wqkv + classifier,42,0.499319881200790,0.84765625,0.858181818181818,0.8671875,0.874074074074074,0.830985915492958,0.921875,118,24,104,10,3,1
wqkv_classifier,Wqkv + classifier,layer0/1 Wqkv + classifier,43,0.480780601501465,0.90234375,0.904942965779468,0.8828125,0.885496183206107,0.865671641791045,0.90625,116,18,110,12,3,1
wqkv_classifier,Wqkv + classifier,layer0/1 Wqkv + classifier,44,0.547595858573914,0.9296875,0.9296875,0.90625,0.904761904761905,0.919354838709677,0.890625,114,10,118,14,3,1
