method,label,seed,selected_threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall
baseline_lora,Baseline LoRA,45,0.6385284662246704,0.814,0.8324324324324325,0.822,0.8387681159420289,0.7665562913907285,0.926
baseline_lora,Baseline LoRA,46,0.6452561020851135,0.81,0.8210922787193974,0.815,0.8266166822867854,0.7777777777777778,0.882
baseline_lora,Baseline LoRA,47,0.5768023729324341,0.81,0.8342059336823734,0.816,0.8368794326241135,0.7515923566878981,0.944
baseline_lora,Baseline LoRA,48,0.5340850949287415,0.804,0.8292682926829268,0.815,0.8372911169744943,0.7472527472527473,0.952
baseline_lora,Baseline LoRA,49,0.6877076029777527,0.826,0.8465608465608465,0.821,0.8406055209260909,0.7576243980738363,0.944
ctx_tw16_t10_s015,Contextual DNABERT-2 shift ctx_tw16_t10_s015,45,0.5847679972648621,0.818,0.8299065420560747,0.809,0.8223255813953487,0.768695652173913,0.884
ctx_tw16_t10_s015,Contextual DNABERT-2 shift ctx_tw16_t10_s015,46,0.5338909029960632,0.826,0.8421052631578948,0.822,0.8375912408759124,0.7701342281879194,0.918
ctx_tw16_t10_s015,Contextual DNABERT-2 shift ctx_tw16_t10_s015,47,0.5740854740142822,0.824,0.8428571428571427,0.819,0.8373764600179695,0.7601957585644372,0.932
ctx_tw16_t10_s015,Contextual DNABERT-2 shift ctx_tw16_t10_s015,48,0.5556776523590088,0.808,0.8228782287822879,0.81,0.8256880733944953,0.7627118644067796,0.9
ctx_tw16_t10_s015,Contextual DNABERT-2 shift ctx_tw16_t10_s015,49,0.5697367191314697,0.806,0.8233151183970857,0.808,0.8267148014440433,0.7532894736842105,0.916
