ctx_tw16_t10_s015	prepare	skipped_existing	data/benchmarks/human_nontata_promoters_embedding_ctx_tw16_t10_s015
baseline_lora	45	skipped_existing	results/human_nontata_heldout_baseline_lora_seed45_threshold.json
ctx_tw16_t10_s015	45	done	results/human_nontata_heldout_ctx_tw16_t10_s015_seed45_threshold.json
baseline_lora	46	skipped_existing	results/human_nontata_heldout_baseline_lora_seed46_threshold.json
ctx_tw16_t10_s015	46	done	results/human_nontata_heldout_ctx_tw16_t10_s015_seed46_threshold.json
baseline_lora	47	skipped_existing	results/human_nontata_heldout_baseline_lora_seed47_threshold.json
ctx_tw16_t10_s015	47	done	results/human_nontata_heldout_ctx_tw16_t10_s015_seed47_threshold.json
baseline_lora	48	skipped_existing	results/human_nontata_heldout_baseline_lora_seed48_threshold.json
ctx_tw16_t10_s015	48	done	results/human_nontata_heldout_ctx_tw16_t10_s015_seed48_threshold.json
baseline_lora	49	skipped_existing	results/human_nontata_heldout_baseline_lora_seed49_threshold.json
ctx_tw16_t10_s015	49	done	results/human_nontata_heldout_ctx_tw16_t10_s015_seed49_threshold.json
