tag,method,seed,selected_threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall
baseline_lora,baseline_lora,42,0.6912179589271545,0.806,0.8138195777351247,0.808,0.8164435946462715,0.782051282051282,0.854
baseline_lora,baseline_lora,43,0.5652587413787842,0.816,0.8339350180505415,0.812,0.8306306306306307,0.7557377049180328,0.922
baseline_lora,baseline_lora,44,0.5739785432815552,0.81,0.8210922787193974,0.811,0.8241860465116281,0.7704347826086957,0.886
emb_tw8_t10_s015,embedding_metadata_estimated,42,0.6183798909187317,0.81,0.8230912476722532,0.808,0.823529411764706,0.7619047619047619,0.896
emb_tw8_t10_s015,embedding_metadata_estimated,43,0.41887858510017395,0.796,0.8118081180811809,0.796,0.8165467625899282,0.7418300653594772,0.908
emb_tw8_t10_s015,embedding_metadata_estimated,44,0.7527392506599426,0.824,0.8364312267657993,0.807,0.8201304753028891,0.7678883071553229,0.88
emb_tw16_t10_s015,embedding_metadata_estimated,42,0.6582494974136353,0.808,0.8228782287822879,0.815,0.8304307974335472,0.766497461928934,0.906
emb_tw16_t10_s015,embedding_metadata_estimated,43,0.5502222180366516,0.806,0.8270944741532976,0.81,0.8303571428571428,0.75,0.93
emb_tw16_t10_s015,embedding_metadata_estimated,44,0.5850400328636169,0.8,0.8181818181818182,0.804,0.8227848101265823,0.7508250825082509,0.91
ctx_tw8_t10_s015,embedding_metadata_estimated,42,0.4685600996017456,0.776,0.8028169014084507,0.774,0.8031358885017422,0.7114197530864198,0.922
ctx_tw8_t10_s015,embedding_metadata_estimated,43,0.5525937080383301,0.814,0.8336314847942754,0.81,0.8297491039426523,0.7516233766233766,0.926
ctx_tw8_t10_s015,embedding_metadata_estimated,44,0.6201361417770386,0.824,0.838827838827839,0.817,0.8322639780018333,0.7681895093062606,0.908
ctx_tw16_t10_s015,embedding_metadata_estimated,42,0.6216264963150024,0.804,0.8191881918819189,0.809,0.8258887876025525,0.7587939698492462,0.906
ctx_tw16_t10_s015,embedding_metadata_estimated,43,0.5593717694282532,0.816,0.8357142857142859,0.817,0.8358744394618834,0.7577235772357723,0.932
ctx_tw16_t10_s015,embedding_metadata_estimated,44,0.580739438533783,0.824,0.8439716312056738,0.813,0.833184656556646,0.7520128824476651,0.934
