method,tag,seed,selected_threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall
baseline_lora,baseline_lora,42,0.6912179589271545,0.806,0.8138195777351247,0.808,0.8164435946462715,0.782051282051282,0.854
baseline_lora,baseline_lora,43,0.5652587413787842,0.816,0.8339350180505415,0.812,0.8306306306306307,0.7557377049180328,0.922
baseline_lora,baseline_lora,44,0.5739785432815552,0.81,0.8210922787193974,0.811,0.8241860465116281,0.7704347826086957,0.886
metadata_estimated,w16_k2_t10_s3,42,0.49675050377845764,0.8,0.8263888888888888,0.798,0.8243478260869566,0.7292307692307692,0.948
metadata_estimated,w16_k2_t10_s3,43,0.5153706669807434,0.818,0.8366247755834829,0.822,0.8407871198568873,0.7605177993527508,0.94
metadata_estimated,w16_k2_t10_s3,44,0.4746922254562378,0.784,0.8118466898954704,0.777,0.8075927523727351,0.7101669195751138,0.936
metadata_estimated,w32_k2_t10_s3,42,0.47438696026802063,0.776,0.800711743772242,0.779,0.8056288478452068,0.7189952904238619,0.916
metadata_estimated,w32_k2_t10_s3,43,0.5558098554611206,0.812,0.8345070422535211,0.815,0.8352626892252892,0.7528089887640449,0.938
metadata_estimated,w32_k2_t10_s3,44,0.6194894909858704,0.798,0.8126159554730984,0.804,0.8211678832116788,0.7550335570469798,0.9
metadata_estimated,w64_k2_t10_s3,42,0.6369263529777527,0.82,0.8351648351648351,0.818,0.8348457350272231,0.7641196013289037,0.92
metadata_estimated,w64_k2_t10_s3,43,0.5355868935585022,0.818,0.8366247755834829,0.813,0.8322869955156952,0.7544715447154472,0.928
metadata_estimated,w64_k2_t10_s3,44,0.6966041922569275,0.82,0.8369565217391305,0.821,0.8380090497737556,0.7652892561983471,0.926
metadata_estimated,w32_k3_t10_s3,42,0.469066858291626,0.776,0.8035087719298244,0.773,0.8027801911381408,0.7096774193548387,0.924
metadata_estimated,w32_k3_t10_s3,43,0.6093465089797974,0.806,0.819366852886406,0.813,0.8276497695852535,0.7675213675213676,0.898
metadata_estimated,w32_k3_t10_s3,44,0.5446156859397888,0.806,0.8264758497316638,0.805,0.8269742679680567,0.7432216905901117,0.932
metadata_estimated,w32_k2_t20_s3,42,0.471637487411499,0.778,0.8021390374331552,0.778,0.8042328042328042,0.7192429022082019,0.912
metadata_estimated,w32_k2_t20_s3,43,0.5458367466926575,0.812,0.8356643356643355,0.814,0.8353982300884956,0.7492063492063492,0.944
metadata_estimated,w32_k2_t20_s3,44,0.4915602505207062,0.784,0.8071428571428572,0.787,0.8113374667847653,0.7281399046104928,0.916
metadata_estimated,w32_k2_t10_s6,42,0.6370623111724854,0.828,0.8464285714285714,0.824,0.8420107719928187,0.7638436482084691,0.938
metadata_estimated,w32_k2_t10_s6,43,0.5610553026199341,0.81,0.8282097649186257,0.815,0.8337825696316263,0.7569331158238173,0.928
metadata_estimated,w32_k2_t10_s6,44,0.4734012484550476,0.792,0.818815331010453,0.779,0.8089887640449438,0.7123287671232876,0.936
