tag,metric,mean_delta_vs_baseline,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,per_seed_delta
w16_k2_t10_s3,test_accuracy,-0.011333333333333381,0.022030282189144372,-0.03400000000000003,0.009999999999999898,0.3333333333333333,-0.0100 / +0.0100 / -0.0340
w16_k2_t10_s3,test_f1,0.0004891421760162181,0.01483662323855612,-0.01659329413889299,0.01015648922625656,0.6666666666666666,+0.0079 / +0.0102 / -0.0166
w32_k2_t10_s3,test_accuracy,-0.011000000000000046,0.016370705543744868,-0.029000000000000026,0.0029999999999998916,0.3333333333333333,-0.0290 / +0.0030 / -0.0070
w32_k2_t10_s3,test_f1,-0.0030669505021184706,0.007723518264149917,-0.010814746801064645,0.004632058594658539,0.3333333333333333,-0.0108 / +0.0046 / -0.0030
w64_k2_t10_s3,test_accuracy,0.006999999999999895,0.005196152422706636,0.0009999999999998899,0.009999999999999898,1.0,+0.0100 / +0.0010 / +0.0100
w64_k2_t10_s3,test_f1,0.011293836176047881,0.008654638285430836,0.0016563648850644874,0.01840214038095167,1.0,+0.0184 / +0.0017 / +0.0138
w32_k3_t10_s3,test_accuracy,-0.013333333333333383,0.019087517736293854,-0.03500000000000003,0.0009999999999998899,0.3333333333333333,-0.0350 / +0.0010 / -0.0060
w32_k3_t10_s3,test_f1,-0.004618681032359739,0.008347205024794075,-0.013663403508130667,0.0027882214564286523,0.3333333333333333,-0.0137 / -0.0030 / +0.0028
w32_k2_t20_s3,test_accuracy,-0.017333333333333385,0.017009801096230716,-0.030000000000000027,0.0019999999999998908,0.3333333333333333,-0.0300 / +0.0020 / -0.0240
w32_k2_t20_s3,test_f1,-0.006763923560821746,0.00999168209812266,-0.012848579726862819,0.004767599457864868,0.3333333333333333,-0.0122 / +0.0048 / -0.0128
w32_k2_t10_s6,test_accuracy,-0.004333333333333411,0.02482606157515387,-0.03200000000000003,0.015999999999999903,0.6666666666666666,+0.0160 / +0.0030 / -0.0320
w32_k2_t10_s6,test_f1,0.004507277960286197,0.02041599872004967,-0.015197282466684281,0.025567177346547232,0.6666666666666666,+0.0256 / +0.0032 / -0.0152
