method,label,seed,selected_threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall
baseline_lora,Baseline LoRA,45,0.6385284662246704,0.814,0.8324324324324325,0.822,0.8387681159420289,0.7665562913907285,0.926
baseline_lora,Baseline LoRA,46,0.6452561020851135,0.81,0.8210922787193974,0.815,0.8266166822867854,0.7777777777777778,0.882
baseline_lora,Baseline LoRA,47,0.5768023729324341,0.81,0.8342059336823734,0.816,0.8368794326241135,0.7515923566878981,0.944
baseline_lora,Baseline LoRA,48,0.5340850949287415,0.804,0.8292682926829268,0.815,0.8372911169744943,0.7472527472527473,0.952
baseline_lora,Baseline LoRA,49,0.6877076029777527,0.826,0.8465608465608465,0.821,0.8406055209260909,0.7576243980738363,0.944
metadata_w64_k2_t10_s3,Metadata-estimated GERM-BO w64_k2_t10_s3,45,0.5588281154632568,0.818,0.8377896613190731,0.817,0.8373333333333334,0.7536,0.942
metadata_w64_k2_t10_s3,Metadata-estimated GERM-BO w64_k2_t10_s3,46,0.5588703155517578,0.82,0.8392857142857143,0.821,0.8406055209260909,0.7576243980738363,0.944
metadata_w64_k2_t10_s3,Metadata-estimated GERM-BO w64_k2_t10_s3,47,0.5496249794960022,0.81,0.8324514991181657,0.817,0.8376220053238685,0.7527910685805422,0.944
metadata_w64_k2_t10_s3,Metadata-estimated GERM-BO w64_k2_t10_s3,48,0.5363171100616455,0.814,0.8312159709618875,0.817,0.8340888485947416,0.7628524046434494,0.92
metadata_w64_k2_t10_s3,Metadata-estimated GERM-BO w64_k2_t10_s3,49,0.5812548398971558,0.798,0.8173598553345389,0.812,0.8300180831826403,0.7574257425742574,0.918
