w64_k2_t10_s3	prepare	skipped_existing	data/benchmarks/human_nontata_promoters_border_estimated_w64_k2_t10_s3
baseline_lora	45	done	results/human_nontata_heldout_baseline_lora_seed45_threshold.json
metadata_w64_k2_t10_s3	45	done	results/human_nontata_heldout_w64_k2_t10_s3_seed45_threshold.json
baseline_lora	46	done	results/human_nontata_heldout_baseline_lora_seed46_threshold.json
metadata_w64_k2_t10_s3	46	done	results/human_nontata_heldout_w64_k2_t10_s3_seed46_threshold.json
baseline_lora	47	done	results/human_nontata_heldout_baseline_lora_seed47_threshold.json
metadata_w64_k2_t10_s3	47	done	results/human_nontata_heldout_w64_k2_t10_s3_seed47_threshold.json
baseline_lora	48	done	results/human_nontata_heldout_baseline_lora_seed48_threshold.json
metadata_w64_k2_t10_s3	48	done	results/human_nontata_heldout_w64_k2_t10_s3_seed48_threshold.json
baseline_lora	49	done	results/human_nontata_heldout_baseline_lora_seed49_threshold.json
metadata_w64_k2_t10_s3	49	done	results/human_nontata_heldout_w64_k2_t10_s3_seed49_threshold.json
