group,metric,comparison,better_variant,worse_variant,n_pairs,better_mean,better_std,worse_mean,worse_std,mean_delta,delta_std,paired_t_pvalue_normal_approx,wilcoxon_pvalue_exact,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,tie_count,per_seed_delta
border_medium,accuracy,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.92578125,0.06523053212590382,0.91748046875,0.01676082354109337,0.00830078125,0.06935853033570738,0.7349832514933818,0.265625,-0.0419921875,0.0458984375,0.75,0,+0.0820 / -0.1484 / +0.0195 / +0.0234 / -0.0078 / +0.0078 / +0.0312 / +0.0586
border_medium,f1,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.9237914729005829,0.06749276160148342,0.9160860712671951,0.017968231761619245,0.007705401633387787,0.07096239635947996,0.7587499347889444,0.3125,-0.043864822214299146,0.046101687352854165,0.75,0,+0.0820 / -0.1525 / +0.0140 / +0.0305 / -0.0111 / +0.0095 / +0.0300 / +0.0591
border_medium,precision,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.9406325562826292,0.06334405150323819,0.9308492051672089,0.027167493991341163,0.009783351115420238,0.07812180130724251,0.723181774397579,0.546875,-0.04378347693007463,0.05523063016843434,0.625,0,+0.0859 / -0.1483 / +0.0695 / -0.0430 / +0.0149 / -0.0178 / +0.0615 / +0.0557
border_medium,recall,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.9091796875,0.08182504908598655,0.9033203125,0.038259036011059344,0.005859375,0.08191158363431965,0.8396621413453786,0.59375,-0.05078125,0.0546875,0.5,1,+0.0781 / -0.1562 / -0.0391 / +0.0938 / -0.0312 / +0.0391 / +0.0000 / +0.0625
border_medium,accuracy,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.92578125,0.06523053212590382,0.90771484375,0.015334563527801163,0.01806640625,0.06253268885664313,0.41383424354100207,0.640625,-0.02392578125,0.05615234375,0.5,0,+0.0938 / -0.0977 / -0.0078 / -0.0039 / -0.0195 / +0.0430 / +0.0703 / +0.0664
border_medium,f1,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9237914729005829,0.06749276160148342,0.9091772988539099,0.014217324177640904,0.014614174046673062,0.0665427454270637,0.534480172082398,0.640625,-0.030297175590521933,0.05536404596454035,0.5,0,+0.0919 / -0.1090 / -0.0119 / -0.0047 / -0.0309 / +0.0466 / +0.0665 / +0.0684
border_medium,precision,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9406325562826292,0.06334405150323819,0.8969278667229601,0.029400188832563106,0.04370468955966908,0.05589580354132665,0.026998806558604205,0.0546875,0.008217402913627617,0.07980827300689998,0.875,0,+0.1128 / -0.0429 / +0.0338 / +0.0060 / +0.0713 / +0.0011 / +0.1177 / +0.0498
border_medium,recall,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9091796875,0.08182504908598655,0.9228515625,0.024505965415788488,-0.013671875,0.10072196830658926,0.7010324143887463,0.875,-0.0810546875,0.0478515625,0.5,0,+0.0703 / -0.1797 / -0.0547 / -0.0156 / -0.1250 / +0.0938 / +0.0156 / +0.0859
border_medium,accuracy,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,8,0.91748046875,0.01676082354109337,0.90771484375,0.015334563527801163,0.009765625,0.030257682392245445,0.3613104285261788,0.4140625,-0.01025390625,0.029296875,0.625,0,+0.0117 / +0.0508 / -0.0273 / -0.0273 / -0.0117 / +0.0352 / +0.0391 / +0.0078
border_medium,f1,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,8,0.9160860712671951,0.017968231761619245,0.9091772988539099,0.014217324177640904,0.006908772413285275,0.030940598167611105,0.5276719993596191,0.4609375,-0.013510719736351498,0.026706440708543097,0.625,0,+0.0098 / +0.0435 / -0.0259 / -0.0352 / -0.0198 / +0.0370 / +0.0365 / +0.0093
border_medium,precision,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,8,0.9308492051672089,0.027167493991341163,0.8969278667229601,0.029400188832563106,0.03392133844424884,0.043177951262703476,0.026279195661672805,0.078125,0.0053913690254516755,0.06154101757540498,0.75,0,+0.0268 / +0.1055 / -0.0357 / +0.0491 / +0.0564 / +0.0189 / +0.0562 / -0.0059
border_medium,recall,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,8,0.9033203125,0.038259036011059344,0.9228515625,0.024505965415788488,-0.01953125,0.05649129792340966,0.3281248617705752,0.53125,-0.0576171875,0.0146484375,0.375,0,-0.0078 / -0.0234 / -0.0156 / -0.1094 / -0.0938 / +0.0547 / +0.0156 / +0.0234
border_hard,accuracy,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.9287109375,0.05503516720158348,0.833984375,0.04526629417560993,0.0947265625,0.08726526030266549,0.0021387134354187154,0.0390625,0.037109375,0.1494140625,0.75,0,+0.1211 / +0.2148 / +0.1133 / +0.1250 / +0.1680 / -0.0430 / -0.0156 / +0.0742
border_hard,f1,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.9263785740978344,0.05900291123234236,0.8376051814499398,0.047108416898490366,0.08877339264789466,0.09200223395717558,0.006349535460883571,0.0390625,0.026951231723287228,0.1449553475717404,0.75,0,+0.1087 / +0.2143 / +0.1097 / +0.1275 / +0.1624 / -0.0629 / -0.0231 / +0.0736
border_hard,precision,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.9439574942538305,0.04693413539933684,0.8173094571763866,0.04019248200835732,0.12664803707744382,0.07562599119832954,2.1726729344528906e-06,0.0078125,0.07986786280439369,0.17682412727158492,1.0,0,+0.1609 / +0.2520 / +0.1402 / +0.1001 / +0.1985 / +0.0564 / +0.0282 / +0.0768
border_hard,recall,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.9111328125,0.07845216096265177,0.8603515625,0.06568841270859045,0.05078125,0.12081440995090657,0.23449591754954158,0.3125,-0.033203125,0.12109375,0.75,0,+0.0469 / +0.1797 / +0.0781 / +0.1562 / +0.1250 / -0.1797 / -0.0703 / +0.0703
border_hard,accuracy,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9287109375,0.05503516720158348,0.83349609375,0.08164336173215465,0.09521484375,0.056062804679206726,1.5576915037840422e-06,0.015625,0.06005859375,0.1328125,0.875,1,+0.0820 / +0.0938 / +0.1328 / +0.0859 / +0.0938 / +0.1992 / +0.0000 / +0.0742
border_hard,f1,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9263785740978344,0.05900291123234236,0.8389946400308564,0.06865171353308784,0.08738393406697799,0.044009952644812694,1.9544932783333024e-08,0.015625,0.05766835491949905,0.11443233784641321,0.875,1,+0.0790 / +0.0943 / +0.1315 / +0.0859 / +0.0885 / +0.1476 / +0.0000 / +0.0723
border_hard,precision,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9439574942538305,0.04693413539933684,0.8268189285898067,0.09102800420373919,0.11713856566402382,0.0809176571790888,4.230680221506411e-05,0.015625,0.06843607430537728,0.17400456223858984,0.875,1,+0.0943 / +0.1210 / +0.1459 / +0.0714 / +0.1418 / +0.2808 / +0.0000 / +0.0818
border_hard,recall,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9111328125,0.07845216096265177,0.8544921875,0.054597742029408335,0.056640625,0.04170733692199731,0.0001224623265454472,0.015625,0.029296875,0.083984375,0.875,1,+0.0625 / +0.0703 / +0.1172 / +0.1016 / +0.0312 / +0.0078 / +0.0000 / +0.0625
