group,comparison,n,accuracy_delta_mean,accuracy_delta_std,win_rate,per_seed_delta
border_medium,metadata_real_minus_metadata_shuffled,8,0.05517578125,0.12388659932167786,0.75,+0.1094 / -0.1289 / +0.0312 / +0.0000 / +0.0039 / +0.0508 / +0.0664 / +0.3086
border_medium,metadata_real_minus_activation,8,0.00830078125,0.06935853033570738,0.75,+0.0820 / -0.1484 / +0.0195 / +0.0234 / -0.0078 / +0.0078 / +0.0312 / +0.0586
border_medium,metadata_shuffled_minus_activation,8,-0.046875,0.08447930887046924,0.125,-0.0273 / -0.0195 / -0.0117 / +0.0234 / -0.0117 / -0.0430 / -0.0352 / -0.2500
border_medium,metadata_shuffled_minus_no_comp,8,-0.037109375,0.08537764062011284,0.25,-0.0156 / +0.0312 / -0.0391 / -0.0039 / -0.0234 / -0.0078 / +0.0039 / -0.2422
border_hard,metadata_real_minus_metadata_shuffled,8,0.07177734375,0.07034155835558195,0.75,+0.1133 / +0.0781 / +0.1602 / +0.0938 / +0.1094 / -0.0547 / -0.0117 / +0.0859
border_hard,metadata_real_minus_activation,8,0.0947265625,0.08726526030266549,0.75,+0.1211 / +0.2148 / +0.1133 / +0.1250 / +0.1680 / -0.0430 / -0.0156 / +0.0742
border_hard,metadata_shuffled_minus_activation,8,0.02294921875,0.05533881521290935,0.625,+0.0078 / +0.1367 / -0.0469 / +0.0312 / +0.0586 / +0.0117 / -0.0039 / -0.0117
border_hard,metadata_shuffled_minus_no_comp,8,0.0234375,0.09458334972204599,0.375,-0.0312 / +0.0156 / -0.0273 / -0.0078 / -0.0156 / +0.2539 / +0.0117 / -0.0117
combined,metadata_real_minus_metadata_shuffled,16,0.0634765625,0.09769790778156835,0.75,+0.1094 / -0.1289 / +0.0312 / +0.0000 / +0.0039 / +0.0508 / +0.0664 / +0.3086 / +0.1133 / +0.0781 / +0.1602 / +0.0938 / +0.1094 / -0.0547 / -0.0117 / +0.0859
combined,metadata_real_minus_activation,16,0.051513671875,0.08826418011131501,0.75,+0.0820 / -0.1484 / +0.0195 / +0.0234 / -0.0078 / +0.0078 / +0.0312 / +0.0586 / +0.1211 / +0.2148 / +0.1133 / +0.1250 / +0.1680 / -0.0430 / -0.0156 / +0.0742
combined,metadata_shuffled_minus_activation,16,-0.011962890625,0.07784414033652805,0.375,-0.0273 / -0.0195 / -0.0117 / +0.0234 / -0.0117 / -0.0430 / -0.0352 / -0.2500 / +0.0078 / +0.1367 / -0.0469 / +0.0312 / +0.0586 / +0.0117 / -0.0039 / -0.0117
combined,metadata_shuffled_minus_no_comp,16,-0.0068359375,0.09248825411065721,0.3125,-0.0156 / +0.0312 / -0.0391 / -0.0039 / -0.0234 / -0.0078 / +0.0039 / -0.2422 / -0.0312 / +0.0156 / -0.0273 / -0.0078 / -0.0156 / +0.2539 / +0.0117 / -0.0117
