group,variant,label,n,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_f1_mean,test_f1_std,per_seed_accuracy
border_medium,metadata_real,metadata real comp=0.27/p4,8,0.92578125,0.06523053212590382,0.7890625,0.99609375,0.9237914729005829,0.06749276160148342,0.9961 / 0.7891 / 0.9141 / 0.9297 / 0.8906 / 0.9414 / 0.9648 / 0.9805
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,8,0.87060546875,0.08200301118964184,0.671875,0.9296875,0.8629027523532866,0.1017110150102721,0.8867 / 0.9180 / 0.8828 / 0.9297 / 0.8867 / 0.8906 / 0.8984 / 0.6719
border_medium,activation,activation-derived comp=0.27/p4,8,0.91748046875,0.01676082354109337,0.89453125,0.9375,0.9160860712671951,0.017968231761619245,0.9141 / 0.9375 / 0.8945 / 0.9062 / 0.8984 / 0.9336 / 0.9336 / 0.9219
border_medium,no_comp,no compensation comp=0.00/p4,8,0.90771484375,0.015334563527801163,0.88671875,0.93359375,0.9091772988539099,0.014217324177640902,0.9023 / 0.8867 / 0.9219 / 0.9336 / 0.9102 / 0.8984 / 0.8945 / 0.9141
border_hard,metadata_real,metadata real comp=0.27/p4,8,0.9287109375,0.05503516720158348,0.8359375,0.98828125,0.9263785740978344,0.05900291123234236,0.9531 / 0.9609 / 0.9844 / 0.9336 / 0.9883 / 0.8359 / 0.8672 / 0.9062
border_hard,metadata_shuffled,metadata shuffled comp=0.27/p4,8,0.85693359375,0.028700211340665836,0.8203125,0.890625,0.8585574442726119,0.026427224763539446,0.8398 / 0.8828 / 0.8242 / 0.8398 / 0.8789 / 0.8906 / 0.8789 / 0.8203
border_hard,activation,activation-derived comp=0.27/p4,8,0.833984375,0.04526629417560993,0.74609375,0.8828125,0.8376051814499398,0.047108416898490366,0.8320 / 0.7461 / 0.8711 / 0.8086 / 0.8203 / 0.8789 / 0.8828 / 0.8320
border_hard,no_comp,no compensation comp=0.00/p4,8,0.83349609375,0.08164336173215465,0.63671875,0.89453125,0.8389946400308564,0.06865171353308784,0.8711 / 0.8672 / 0.8516 / 0.8477 / 0.8945 / 0.6367 / 0.8672 / 0.8320
combined,metadata_real,metadata real comp=0.27/p4,16,0.92724609375,0.05832185178114882,0.7890625,0.99609375,0.9250850234992086,0.06125525130567648,0.9961 / 0.7891 / 0.9141 / 0.9297 / 0.8906 / 0.9414 / 0.9648 / 0.9805 / 0.9531 / 0.9609 / 0.9844 / 0.9336 / 0.9883 / 0.8359 / 0.8672 / 0.9062
combined,metadata_shuffled,metadata shuffled comp=0.27/p4,16,0.86376953125,0.05976902904249233,0.671875,0.9296875,0.8607300983129492,0.0718239645666732,0.8867 / 0.9180 / 0.8828 / 0.9297 / 0.8867 / 0.8906 / 0.8984 / 0.6719 / 0.8398 / 0.8828 / 0.8242 / 0.8398 / 0.8789 / 0.8906 / 0.8789 / 0.8203
combined,activation,activation-derived comp=0.27/p4,16,0.875732421875,0.054280830775523224,0.74609375,0.9375,0.8768456263585674,0.053186102403592436,0.9141 / 0.9375 / 0.8945 / 0.9062 / 0.8984 / 0.9336 / 0.9336 / 0.9219 / 0.8320 / 0.7461 / 0.8711 / 0.8086 / 0.8203 / 0.8789 / 0.8828 / 0.8320
combined,no_comp,no compensation comp=0.00/p4,16,0.87060546875,0.0684783191386682,0.63671875,0.93359375,0.8740859694423831,0.06006038791222351,0.9023 / 0.8867 / 0.9219 / 0.9336 / 0.9102 / 0.8984 / 0.8945 / 0.9141 / 0.8711 / 0.8672 / 0.8516 / 0.8477 / 0.8945 / 0.6367 / 0.8672 / 0.8320
