task,backbone,method,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std
H3,nt_v2_50m,baseline_lora,0.7916666666666667,0.011503622617824942,0.7915318179600247,0.011500478054268603
H3,nt_v2_50m,germ_bo_center_jsd,0.788,0.009848857801796113,0.7871227531087993,0.010864896815629138
H3K14ac,nt_v2_50m,baseline_lora,0.6306666666666667,0.009865765724632504,0.6261881964583143,0.014076068501405432
H3K14ac,nt_v2_50m,germ_bo_center_jsd,0.6283333333333333,0.004041451884327384,0.6263104696190477,0.004793532037315387
H3K36me3,nt_v2_50m,baseline_lora,0.6813333333333333,0.020550750189064423,0.6791249013218145,0.02166171810720986
H3K36me3,nt_v2_50m,germ_bo_center_jsd,0.6766666666666666,0.015044378795195627,0.6744389508798861,0.016825805437714694
H3K4me1,nt_v2_50m,baseline_lora,0.6166666666666667,0.00802080627701065,0.6138130851614286,0.00956807563672674
H3K4me1,nt_v2_50m,germ_bo_center_jsd,0.6153333333333333,0.007505553499465142,0.6123801635221024,0.010136123312729098
H3K4me2,nt_v2_50m,baseline_lora,0.602,0.009165151389911688,0.597647258371769,0.012283386152205873
H3K4me2,nt_v2_50m,germ_bo_center_jsd,0.606,0.005567764362830027,0.604182679662367,0.006690892737140004
H3K4me3,nt_v2_50m,baseline_lora,0.5656666666666667,0.00650640709864766,0.5479104080208028,0.029237508077590214
H3K4me3,nt_v2_50m,germ_bo_center_jsd,0.5643333333333334,0.004041451884327325,0.5461674313064514,0.025744906920197128
H3K79me3,nt_v2_50m,baseline_lora,0.7333333333333333,0.004163331998932269,0.7324239032876444,0.003819723796245989
H3K79me3,nt_v2_50m,germ_bo_center_jsd,0.734,0.006557438524302007,0.7332238020955932,0.0058543084121617395
H3K9ac,nt_v2_50m,baseline_lora,0.653,0.011532562594670805,0.6514345114571862,0.01076204977487656
H3K9ac,nt_v2_50m,germ_bo_center_jsd,0.6483333333333333,0.00802080627701065,0.6465254023856091,0.006456366046682249
H4,nt_v2_50m,baseline_lora,0.8423333333333333,0.0025166114784235852,0.8423234966935336,0.0025076403819807047
H4,nt_v2_50m,germ_bo_center_jsd,0.8373333333333333,0.0045092497528228985,0.8372366686901742,0.004427954229979486
H4ac,nt_v2_50m,baseline_lora,0.5836666666666667,0.005507570547286107,0.582598395184062,0.006183270602070473
H4ac,nt_v2_50m,germ_bo_center_jsd,0.5966666666666667,0.0005773502691896263,0.5955428221553313,0.0018808025743145445
