task,category,method,method_label,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std
H3,histone,baseline_lora,Baseline LoRA,0.775,0.09026627277117402,0.7687921493763233,0.0987325877543263
H3,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.7833333333333333,0.053153864707407066,0.777558351146198,0.05945083840676959
H3K14ac,histone,baseline_lora,Baseline LoRA,0.5923333333333334,0.08164761682580414,0.5269031239071069,0.16902943887571498
H3K14ac,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.665,0.015620499351813323,0.6599191400486468,0.02029433490899416
H3K36me3,histone,baseline_lora,Baseline LoRA,0.6843333333333333,0.052252591642265284,0.6669254523161037,0.0759687511158704
H3K36me3,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.701,0.025238858928247888,0.6972630911166856,0.02802220258791474
H3K4me1,histone,baseline_lora,Baseline LoRA,0.6733333333333333,0.006429100507328643,0.672636448939173,0.006249181552130878
H3K4me1,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.6586666666666667,0.008326663997864537,0.6577230480400064,0.009286128817418188
H3K4me2,histone,baseline_lora,Baseline LoRA,0.5926666666666667,0.07892612579705996,0.5400433108540399,0.15724964900569968
H3K4me2,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.6236666666666667,0.012503332889007379,0.6203119281070211,0.011860368736069873
H3K4me3,histone,baseline_lora,Baseline LoRA,0.541,0.05985816569190872,0.46914096796037463,0.11560210395423257
H3K4me3,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.5526666666666666,0.02685764943797821,0.5095433174126262,0.058816037683648785
H3K79me3,histone,baseline_lora,Baseline LoRA,0.743,0.03404408906109843,0.7417079444109046,0.034368167415180374
H3K79me3,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.756,0.030413812651491127,0.752953170624052,0.035227253461927156
H3K9ac,histone,baseline_lora,Baseline LoRA,0.659,0.08418432158068384,0.6288454141059712,0.1268718374483358
H3K9ac,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.69,0.00599999999999995,0.6840219307311993,0.005992961891357316
H4,histone,baseline_lora,Baseline LoRA,0.8793333333333333,0.004618802153517011,0.8792581100708952,0.004557784040811564
H4,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.828,0.05144900387762622,0.825633361678384,0.05536195084376369
H4ac,histone,baseline_lora,Baseline LoRA,0.6383333333333333,0.013051181300301274,0.6319315428783652,0.017598333597641812
H4ac,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.631,0.013453624047073722,0.622729626883856,0.010811583988899294
enhancers,regulatory,baseline_lora,Baseline LoRA,0.7216666666666667,0.02742413778650728,0.7164441821319815,0.034093689375192
enhancers,regulatory,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,0.7291666666666666,0.005204164998665327,0.726475337374698,0.004969869925383448
