split,task,category,metric,mean_delta,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,per_seed_delta
heldout,H3,histone,test_accuracy,-0.054200000000000005,0.1560086536061381,-0.19219999999999998,0.03159999999999994,0.4,-0.0170 / -0.3290 / +0.0430 / +0.0400 / -0.0080
heldout,H3,histone,test_f1,-0.06955955223781086,0.1942664245908886,-0.2419811493451447,0.03399200603915831,0.4,-0.0146 / -0.4133 / +0.0445 / +0.0454 / -0.0098
heldout,H3K14ac,histone,test_accuracy,-0.005999999999999983,0.03628360511305346,-0.034599999999999964,0.020600000000000018,0.4,+0.0280 / -0.0050 / +0.0260 / -0.0190 / -0.0600
heldout,H3K14ac,histone,test_f1,-0.003460181358271308,0.038460398137625806,-0.03309416079839596,0.02508306237802278,0.4,+0.0302 / -0.0047 / +0.0349 / -0.0187 / -0.0590
heldout,H3K36me3,histone,test_accuracy,0.004600000000000004,0.04186048255813587,-0.022799999999999952,0.04039999999999997,0.4,-0.0110 / +0.0740 / +0.0070 / -0.0100 / -0.0370
heldout,H3K36me3,histone,test_f1,0.005369955350799982,0.04297365550192742,-0.020583094429498662,0.04332830805185208,0.4,-0.0105 / +0.0792 / +0.0030 / -0.0143 / -0.0305
heldout,H3K4me1,histone,test_accuracy,0.014200000000000013,0.021487205495364,-0.0028000000000000026,0.031000000000000028,0.6,-0.0090 / +0.0370 / +0.0360 / +0.0100 / -0.0030
heldout,H3K4me1,histone,test_f1,0.018959201227784495,0.020942095112792356,0.0028851885041299764,0.03541111962520969,0.8,-0.0005 / +0.0474 / +0.0336 / +0.0131 / +0.0012
heldout,H3K4me2,histone,test_accuracy,0.006600000000000006,0.030517208260258697,-0.014800000000000013,0.030000000000000027,0.6,-0.0230 / +0.0530 / +0.0100 / +0.0120 / -0.0190
heldout,H3K4me2,histone,test_f1,0.010128902732462563,0.0536804132766454,-0.02825597539598852,0.05085707621361328,0.6,-0.0407 / +0.0906 / +0.0151 / +0.0231 / -0.0375
heldout,H3K4me3,histone,test_accuracy,-0.0032000000000000028,0.043211109682580434,-0.03699999999999999,0.030199999999999984,0.4,+0.0590 / -0.0230 / +0.0110 / -0.0580 / -0.0050
heldout,H3K4me3,histone,test_f1,-0.009092376351471332,0.10101300758129489,-0.0705653662440743,0.07880727241349225,0.2,+0.1629 / -0.0580 / -0.0042 / -0.0556 / -0.0906
heldout,H3K79me3,histone,test_accuracy,-0.001399999999999979,0.07629089067509959,-0.05579999999999996,0.06480000000000001,0.4,+0.1190 / +0.0130 / -0.0460 / -0.0820 / -0.0110
heldout,H3K79me3,histone,test_f1,-0.005048104115054653,0.08083734440096456,-0.062403361217415965,0.06281259890225424,0.4,+0.1205 / +0.0132 / -0.0607 / -0.0882 / -0.0101
heldout,H3K9ac,histone,test_accuracy,0.024999999999999977,0.0560401641682106,-0.019399999999999973,0.06659999999999995,0.6,+0.0890 / -0.0540 / +0.0000 / +0.0250 / +0.0650
heldout,H3K9ac,histone,test_f1,0.02139974103474811,0.06981355951037405,-0.034623938493572815,0.0733755827466005,0.6,+0.0935 / -0.0798 / -0.0101 / +0.0270 / +0.0765
heldout,H4,histone,test_accuracy,0.05439999999999998,0.0999214691645394,-0.016200000000000013,0.13379999999999997,0.6,+0.2070 / +0.0190 / +0.0960 / -0.0480 / -0.0020
heldout,H4,histone,test_f1,0.061207737676045794,0.11202296582879546,-0.01719483999671456,0.15162406307730092,0.6,+0.2345 / +0.0190 / +0.1050 / -0.0504 / -0.0021
heldout,H4ac,histone,test_accuracy,0.0006000000000000005,0.05760034722117565,-0.04619999999999998,0.04039999999999997,0.6,-0.0890 / +0.0180 / +0.0640 / -0.0160 / +0.0260
heldout,H4ac,histone,test_f1,-0.025115953410054515,0.14595992846495903,-0.14345514821158853,0.08263720584516783,0.6,-0.2023 / +0.0369 / +0.1523 / -0.1471 / +0.0347
heldout,enhancers,regulatory,test_accuracy,-0.007000000000000029,0.010517841983981318,-0.015000000000000036,0.0009999999999999788,0.4,-0.0200 / -0.0100 / -0.0125 / +0.0025 / +0.0050
heldout,enhancers,regulatory,test_f1,-0.006896300538688727,0.011048954282137672,-0.015118596766097881,0.001871656437325253,0.4,-0.0206 / -0.0109 / -0.0117 / +0.0026 / +0.0062
