split,task,category,method,method_label,n_seeds,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,per_seed_accuracy
heldout,H3,histone,baseline_lora,Baseline LoRA,5,0.8182,0.03454272716506326,0.815654254349467,0.0363980049350516,0.8130 / 0.8720 / 0.8040 / 0.7780 / 0.8240
heldout,H3,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.764,0.12487393643190717,0.7460947021116562,0.16178281019677726,0.7960 / 0.5430 / 0.8470 / 0.8180 / 0.8160
heldout,H3K14ac,histone,baseline_lora,Baseline LoRA,5,0.6654,0.018146625030566958,0.660717925741884,0.021093880870042932,0.6470 / 0.6730 / 0.6480 / 0.6690 / 0.6900
heldout,H3K14ac,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.6594,0.019256167843057472,0.6572577443836127,0.01914506644478767,0.6750 / 0.6680 / 0.6740 / 0.6500 / 0.6300
heldout,H3K36me3,histone,baseline_lora,Baseline LoRA,5,0.7038,0.029439769020833003,0.7000594426500808,0.030758917787797196,0.7280 / 0.6530 / 0.7110 / 0.7080 / 0.7190
heldout,H3K36me3,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.7084,0.018146625030566955,0.7054293980008808,0.01821753439877947,0.7170 / 0.7270 / 0.7180 / 0.6980 / 0.6820
heldout,H3K4me1,histone,baseline_lora,Baseline LoRA,5,0.638,0.022124646889837608,0.6314826886820367,0.02244757690909479,0.6600 / 0.6230 / 0.6080 / 0.6430 / 0.6560
heldout,H3K4me1,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.6522,0.005718391382198324,0.6504418899098212,0.006299364849329486,0.6510 / 0.6600 / 0.6440 / 0.6530 / 0.6530
heldout,H3K4me2,histone,baseline_lora,Baseline LoRA,5,0.6262,0.021111608181282656,0.6148031790729871,0.03589352342088592,0.6270 / 0.5910 / 0.6360 / 0.6300 / 0.6470
heldout,H3K4me2,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.6328,0.017584083712266628,0.6249320818054496,0.02713313535168558,0.6040 / 0.6440 / 0.6460 / 0.6420 / 0.6280
heldout,H3K4me3,histone,baseline_lora,Baseline LoRA,5,0.5568,0.039328106997413424,0.5195477090986639,0.07204136131443459,0.5230 / 0.5580 / 0.5750 / 0.6120 / 0.5160
heldout,H3K4me3,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.5536,0.03169069263995343,0.5104553327471926,0.0756808618212445,0.5820 / 0.5350 / 0.5860 / 0.5540 / 0.5110
heldout,H3K79me3,histone,baseline_lora,Baseline LoRA,5,0.7356,0.050914634438440194,0.7326112057216201,0.0520494203443376,0.6530 / 0.7640 / 0.7200 / 0.7650 / 0.7760
heldout,H3K79me3,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.7342000000000001,0.05112435818668043,0.7275631016065655,0.06073645172001534,0.7720 / 0.7770 / 0.6740 / 0.6830 / 0.7650
heldout,H3K9ac,histone,baseline_lora,Baseline LoRA,5,0.6544,0.04286373758784924,0.6426124354195061,0.04886884974469694,0.6020 / 0.7170 / 0.6360 / 0.6710 / 0.6460
heldout,H3K9ac,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.6794,0.02983789536813879,0.6640121764542541,0.04464538240408046,0.6910 / 0.6630 / 0.6360 / 0.6960 / 0.7110
heldout,H4,histone,baseline_lora,Baseline LoRA,5,0.7998,0.08718772849432423,0.7919938500636095,0.09895764988882239,0.6630 / 0.8570 / 0.7640 / 0.8730 / 0.8420
heldout,H4,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.8542,0.021288494545176295,0.8532015877396553,0.022156416157558142,0.8700 / 0.8760 / 0.8600 / 0.8250 / 0.8400
heldout,H4ac,histone,baseline_lora,Baseline LoRA,5,0.5768,0.04869496893930623,0.5374841874454414,0.07912703235638194,0.6210 / 0.6030 / 0.5420 / 0.5090 / 0.6090
heldout,H4ac,histone,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.5774,0.06168711372726073,0.5123682340353869,0.13373303490201993,0.5320 / 0.6210 / 0.6060 / 0.4930 / 0.6350
heldout,enhancers,regulatory,baseline_lora,Baseline LoRA,5,0.7395,0.010517841983981329,0.7388935690608504,0.011145547758819594,0.7500 / 0.7425 / 0.7325 / 0.7475 / 0.7250
heldout,enhancers,regulatory,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,5,0.7325,0.010897247358851694,0.7319972685221616,0.011144894582818239,0.7300 / 0.7325 / 0.7200 / 0.7500 / 0.7300
