tag,window,kmer,top_ratio,normalization,score_min,score_max,test_score_std_avg,test_clip_max_rate_avg,test_class_score_spread,baseline_score_error_pearson,germ_bo_score_error_pearson,baseline_score_margin_pearson,germ_bo_score_margin_pearson,test_entropy3_pearson,test_gc_pearson,test_max3_pearson,quality_score
w48_k2_t025_train_quantile_r07_13,48,2,0.25,train_quantile,0.7,1.3,0.16866656000528724,0.0,0.062044810000001394,0.05938427030429951,0.018197129673817626,0.01823655637627568,0.03891957706693124,0.05335060609042559,-0.015647340659507392,0.0646612765870632,0.2016531645441368
w48_k2_t05_train_quantile_r07_13,48,2,0.5,train_quantile,0.7,1.3,0.16871226900957645,0.0,0.06429685499999949,0.060622117158212155,0.018981257018433353,0.014066823748100749,0.034327057276601756,0.05421479886980444,-0.015607661318285474,0.06434109654301934,0.20010158209122855
w48_k2_t10_train_quantile_r07_13,48,2,1.0,train_quantile,0.7,1.3,0.16888744383551738,0.0,0.06452880699999897,0.05981508732072815,0.0207939546859357,0.0076086321152417586,0.02709554315618063,0.059164220871770964,-0.016309262145726148,0.06409155059091302,0.19631987142624352
w64_k2_t025_train_quantile_r07_13,64,2,0.25,train_quantile,0.7,1.3,0.16876970435797456,0.0,0.05254421099999873,0.04228301915496186,0.0066513830429535,0.027014594460784587,0.051225816934365676,0.024880691047231705,0.013167984347982024,0.10334891490751666,0.18968689367575917
w64_k2_t05_train_quantile_r07_13,64,2,0.5,train_quantile,0.7,1.3,0.1687292515264859,0.0,0.05717507700000257,0.04464234350983627,0.007294550543985166,0.02473778177328745,0.04801018964677087,0.02524991824518553,0.01091824310794695,0.10418696299077673,0.18900877735709526
w32_k2_t025_train_quantile_r07_13,32,2,0.25,train_quantile,0.7,1.3,0.16824270421898616,0.0,0.07431460099999898,0.08760580988664618,0.037601437088901936,0.007475002186670566,0.01530510843243127,0.12276446656004562,-0.05879046761523747,-0.001892385927599899,0.18900704673851348
w32_k2_t05_train_quantile_r07_13,32,2,0.5,train_quantile,0.7,1.3,0.1682677189086501,0.0,0.07653860199999907,0.0856451511560051,0.036023973912582614,0.007760849639707368,0.01517848142224004,0.12627177581472687,-0.062655825748116,-0.0020066468282425344,0.187111591244091
w64_k2_t10_train_quantile_r07_13,64,2,1.0,train_quantile,0.7,1.3,0.16846307616270115,0.0,0.05856081000000246,0.04612045302129082,0.00929392098345649,0.016842242871689218,0.038150487735918615,0.02939296594612624,0.008757778142760604,0.09664474684640413,0.18643735982970483
w32_k2_t10_train_quantile_r07_13,32,2,1.0,train_quantile,0.7,1.3,0.16779166019854289,0.0,0.07880951800000047,0.0838871310296436,0.03328352499436518,0.0051791755528763465,0.012665582844515659,0.1344175982261372,-0.06140677912842831,-0.009998883268418057,0.1824636175790882
w64_k3_t025_train_quantile_r07_13,64,3,0.25,train_quantile,0.7,1.3,0.17046107467018232,0.0,0.04307639900000004,0.03370842509183819,0.0034630937223002678,0.04973180867828468,0.08712945613086531,0.2816408644491299,-0.03824575975310558,-0.06158175791720457,0.16046979916925158
w64_k3_t05_train_quantile_r07_13,64,3,0.5,train_quantile,0.7,1.3,0.17066821143220398,0.0,0.048325612000000184,0.037538105079362845,0.0037232292778179915,0.046473310837545564,0.08408769803419705,0.301943736010539,-0.04287511366581189,-0.07247622712418182,0.15599517898634918
w32_k3_t025_train_quantile_r07_13,32,3,0.25,train_quantile,0.7,1.3,0.17062171528590342,0.0,0.07257421099999994,0.08236625363349381,0.03235016383691015,0.008492656989037024,0.018407550100232623,0.2653184910945017,-0.07230877191646286,-0.10826079918100517,0.15467899437914123
w48_k3_t025_train_quantile_r07_13,48,3,0.25,train_quantile,0.7,1.3,0.17121786277868176,0.0,0.056028417000002495,0.05337073161152805,0.014487189381950346,0.02493507635630557,0.05099999637248551,0.27595661261230553,-0.05617307886169794,-0.08868498854084987,0.15441407361761214
w48_k3_t05_train_quantile_r07_13,48,3,0.5,train_quantile,0.7,1.3,0.17181930191250305,0.0,0.05961486099999913,0.05841557582530069,0.018309930851929262,0.024437568652427293,0.050543699365080415,0.29559312481165184,-0.06217348897547307,-0.09974393399940054,0.15240065830478067
w32_k3_t05_train_quantile_r07_13,32,3,0.5,train_quantile,0.7,1.3,0.16959799311084253,0.0,0.07246090800000038,0.08298398631017852,0.032985381894918245,0.009809066985304088,0.019513652338830952,0.2824245036490637,-0.08111128992717409,-0.11588096599767778,0.15024068652308134
w48_k2_t025_train_quantile_r08_12,48,2,0.25,train_quantile,0.8,1.2,0.11244437722739666,0.0,0.04136321200000226,0.05938430429415109,0.018197141106810852,0.018236553269114258,0.038919554816633346,0.05335057617911096,-0.015647442303087532,0.06466127042028258,0.1454309891777182
