reference,method,metric,mean_delta,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,per_seed_delta
"GERM-BO quantile [0.8,1.2] comp0.27",Baseline LoRA full target set,test_accuracy,-0.030999999999999993,0.03575767205944916,-0.056999999999999995,-0.0004444444444444362,0.2,+0.0217 / -0.0144 / -0.0394 / -0.0528 / -0.0700
"GERM-BO quantile [0.8,1.2] comp0.27",Baseline LoRA full target set,test_macro_f1,-0.12363921543784734,0.11881792313216423,-0.21380596000881238,-0.0292339647786805,0.2,+0.0309 / -0.0245 / -0.1802 / -0.2145 / -0.2299
"GERM-BO quantile [0.8,1.2] comp0.27",DNABERT-2 frozen linear probe,test_accuracy,-0.05533333333333333,0.023816427570528317,-0.07355555555555554,-0.03722222222222223,0.0,-0.0261 / -0.0861 / -0.0394 / -0.0550 / -0.0700
"GERM-BO quantile [0.8,1.2] comp0.27",DNABERT-2 frozen linear probe,test_macro_f1,-0.18926645144109214,0.05839235735375711,-0.22571305840387373,-0.13657429815406125,0.0,-0.0909 / -0.2219 / -0.1802 / -0.2234 / -0.2299
"GERM-BO quantile [0.8,1.2] comp0.27",GERM-BO comp=0,test_accuracy,-0.03988888888888888,0.01934259037639827,-0.05411111111111109,-0.02511111111111112,0.0,-0.0222 / -0.0656 / -0.0189 / -0.0461 / -0.0467
"GERM-BO quantile [0.8,1.2] comp0.27",GERM-BO comp=0,test_macro_f1,-0.1175688777246938,0.06447175932817327,-0.16179922045097714,-0.06039259716308818,0.0,-0.0168 / -0.1542 / -0.0894 / -0.1703 / -0.1571
"GERM-BO quantile [0.8,1.2] comp0.27",GERM-BO shuffled metadata,test_accuracy,-0.0232222222222222,0.03528412016477765,-0.050111111111111085,0.003666666666666685,0.4,+0.0167 / -0.0483 / -0.0417 / +0.0133 / -0.0561
"GERM-BO quantile [0.8,1.2] comp0.27",GERM-BO shuffled metadata,test_macro_f1,-0.0735923540801312,0.10872356569239724,-0.15478943657278968,0.012995984476372336,0.2,+0.0847 / -0.0946 / -0.1800 / -0.0184 / -0.1597
"GERM-BO quantile [0.8,1.2] comp0.27",LoRA attention.output + classifier,test_accuracy,-0.03988888888888888,0.01934259037639827,-0.05411111111111109,-0.02511111111111112,0.0,-0.0222 / -0.0656 / -0.0189 / -0.0461 / -0.0467
"GERM-BO quantile [0.8,1.2] comp0.27",LoRA attention.output + classifier,test_macro_f1,-0.1175688777246938,0.06447175932817327,-0.16179922045097714,-0.06039259716308818,0.0,-0.0168 / -0.1542 / -0.0894 / -0.1703 / -0.1571
