benchmark,method,label,family,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,per_seed_accuracy,per_seed_macro_f1
splice_sites_all_kmer_balanced,kmer_linear_svm,3-mer Linear SVM,traditional_kmer,5,0.4136666715145111,0.002564001027991064,0.4128073952807864,0.00263780059268515,0.4172 / 0.4139 / 0.4133 / 0.4139 / 0.4100,0.4164 / 0.4131 / 0.4126 / 0.4130 / 0.4090
splice_sites_all_kmer_balanced,kmer_logreg,3-mer Logistic Regression,traditional_kmer,5,0.4094444394111633,0.002324056381264486,0.4052459526981832,0.0023225063967228688,0.4128 / 0.4083 / 0.4089 / 0.4106 / 0.4067,0.4085 / 0.4045 / 0.4045 / 0.4063 / 0.4023
splice_sites_all_kmer_balanced,kmer_multinomial_nb,3-mer Multinomial NB,traditional_kmer,5,0.4033333361148834,0.0,0.39938168509229,0.0,0.4033 / 0.4033 / 0.4033 / 0.4033 / 0.4033,0.3994 / 0.3994 / 0.3994 / 0.3994 / 0.3994
splice_sites_all_kmer_balanced,kmer_nearest_centroid,3-mer Nearest Centroid,traditional_kmer,5,0.4033333361148834,0.0,0.3993757677239231,0.0,0.4033 / 0.4033 / 0.4033 / 0.4033 / 0.4033,0.3994 / 0.3994 / 0.3994 / 0.3994 / 0.3994
splice_sites_all_kmer_balanced,splice_kmer_balanced_confirm_germ_bo_quantile_q08_12_comp027,"GERM-BO quantile [0.8,1.2] comp0.27",dnabert2_germ_bo,5,0.3887777777777778,0.023298254054227068,0.35802512139507486,0.054547952860551245,0.3606 / 0.4189 / 0.3728 / 0.3883 / 0.4033,0.2671 / 0.3895 / 0.3469 / 0.3901 / 0.3966
splice_sites_all_kmer_balanced,splice_kmer_balanced_ablation_germ_bo_shuffled,GERM-BO shuffled metadata,mechanism_ablation,5,0.3655555555555556,0.02732971972499743,0.28443276731494366,0.08416694476000192,0.3772 / 0.3706 / 0.3311 / 0.4017 / 0.3472,0.3518 / 0.2949 / 0.1669 / 0.3717 / 0.2369
splice_sites_all_kmer_balanced,splice_kmer_balanced_confirm_lora_attention_output_classifier,LoRA attention.output + classifier,dnabert2_lora_baseline,5,0.34888888888888886,0.008079466429027224,0.2404562436703811,0.014497252776990396,0.3383 / 0.3533 / 0.3539 / 0.3422 / 0.3567,0.2503 / 0.2353 / 0.2574 / 0.2197 / 0.2395
splice_sites_all_kmer_balanced,splice_kmer_balanced_ablation_germ_bo_comp0,GERM-BO comp=0,mechanism_ablation,5,0.34888888888888886,0.008079466429027224,0.2404562436703811,0.014497252776990396,0.3383 / 0.3533 / 0.3539 / 0.3422 / 0.3567,0.2503 / 0.2353 / 0.2574 / 0.2197 / 0.2395
splice_sites_all_kmer_balanced,splice_kmer_balanced_ablation_baseline_lora_full,Baseline LoRA full target set,dnabert2_lora,5,0.35777777777777775,0.03340732528527314,0.23438590595722755,0.09182260027880808,0.3822 / 0.4044 / 0.3333 / 0.3356 / 0.3333,0.2980 / 0.3650 / 0.1667 / 0.1756 / 0.1667
splice_sites_all_kmer_balanced,splice_kmer_balanced_ablation_linear_probe,DNABERT-2 frozen linear probe,dnabert2_probe,5,0.33344444444444443,0.0006085806194501809,0.16875866995398275,0.004161568624740028,0.3344 / 0.3328 / 0.3333 / 0.3333 / 0.3333,0.1762 / 0.1676 / 0.1667 / 0.1667 / 0.1667
