split,feature,pearson,spearman
train,gc,-0.039550536849314054,-0.027845126147652964
train,entropy3,0.2266039887397028,0.0632543519079042
train,max3,-0.12600716142727772,-0.0603892478200378
train,cpg,-0.017830567425005127,-0.011781514401707105
train,gt_ag_center,-0.008258727963093201,0.030572357370341675
val,gc,-0.018507495289947877,0.0026534289681203384
val,entropy3,0.14136166588200919,0.057381818481872064
val,max3,-0.07245206789335928,-0.053999325436691364
val,cpg,0.009251120207167571,0.012883775000891171
val,gt_ag_center,-0.04429939928921199,-0.048942608623221744
test,gc,-0.03218209729204357,-0.02982095528097358
test,entropy3,0.12806705209371297,0.044542407065906356
test,max3,-0.07311685742213546,-0.043077350903933644
test,cpg,-0.01987668652533413,-0.011993138999287334
test,gt_ag_center,0.0578743330510556,0.044526303710628296
