reference,method,metric,mean_delta,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,per_seed_delta
GERM-BO w64/k3/top10/scale3,3-mer Linear SVM,test_accuracy,0.0262000064531962,0.035554807084127574,-0.003999991114934298,0.049466670687993354,0.8,+0.0397 / -0.0327 / +0.0383 / +0.0617 / +0.0240
GERM-BO w64/k3/top10/scale3,3-mer Linear SVM,test_macro_f1,0.0728566860162366,0.07248451448941678,0.01546790785450578,0.12494408225607448,0.8,+0.0411 / -0.0328 / +0.1103 / +0.1578 / +0.0879
GERM-BO w64/k3/top10/scale3,3-mer Logistic Regression,test_accuracy,0.0322666625658671,0.03690106944942684,0.0012666633764902625,0.05639998993873595,0.8,+0.0443 / -0.0283 / +0.0470 / +0.0697 / +0.0287
GERM-BO w64/k3/top10/scale3,3-mer Logistic Regression,test_macro_f1,0.07624826287844669,0.07405005443541632,0.017327545113952136,0.12972794678590732,0.8,+0.0430 / -0.0310 / +0.1164 / +0.1630 / +0.0899
GERM-BO w64/k3/top10/scale3,3-mer Multinomial NB,test_accuracy,-0.012866677792867032,0.03715478135822869,-0.04426667779286704,0.011266655540466297,0.4,-0.0000 / -0.0743 / +0.0017 / +0.0240 / -0.0157
GERM-BO w64/k3/top10/scale3,3-mer Multinomial NB,test_macro_f1,0.0009179196921811572,0.07412939998134349,-0.05820414498354467,0.054262206885437494,0.6,-0.0315 / -0.1072 / +0.0409 / +0.0871 / +0.0153
GERM-BO w64/k3/top10/scale3,3-mer Nearest Centroid,test_accuracy,-0.013199986966451017,0.03715478135822869,-0.044599986966451025,0.010933346366882313,0.4,-0.0003 / -0.0747 / +0.0013 / +0.0237 / -0.0160
GERM-BO w64/k3/top10/scale3,3-mer Nearest Centroid,test_macro_f1,0.012099142346588621,0.07412939998134349,-0.047022922329137205,0.06544342953984496,0.6,-0.0203 / -0.0960 / +0.0520 / +0.0983 / +0.0265
GERM-BO w64/k3/top10/scale3,Baseline LoRA full target set,test_accuracy,-0.014200000000000013,0.06652676988334179,-0.07260000000000003,0.02679999999999998,0.6,-0.0127 / -0.1277 / +0.0437 / +0.0157 / +0.0100
GERM-BO w64/k3/top10/scale3,Baseline LoRA full target set,test_macro_f1,-0.05146043910737798,0.15195900307020652,-0.17968692848206252,0.05052782249913194,0.6,-0.1006 / -0.2945 / +0.0858 / +0.0231 / +0.0290
GERM-BO w64/k3/top10/scale3,DNABERT-2 frozen linear probe,test_accuracy,-0.05626666666666667,0.039164468023395335,-0.08953333333333334,-0.031533333333333344,0.0,-0.0373 / -0.1223 / -0.0433 / -0.0210 / -0.0573
GERM-BO w64/k3/top10/scale3,DNABERT-2 frozen linear probe,test_macro_f1,-0.14957622588908545,0.07507724531958787,-0.20962232221497965,-0.09724134775795855,0.0,-0.1674 / -0.2678 / -0.1147 / -0.0680 / -0.1300
GERM-BO w64/k3/top10/scale3,"GERM-BO quantile [0.8,1.2] comp0.27",test_accuracy,0.015200000000000002,0.050251368140579025,-0.020999999999999998,0.054800000000000015,0.6,+0.0930 / -0.0230 / +0.0180 / +0.0230 / -0.0350
GERM-BO w64/k3/top10/scale3,"GERM-BO quantile [0.8,1.2] comp0.27",test_macro_f1,0.018521791900959837,0.0775908766389096,-0.042084790791266945,0.07912837459318663,0.6,+0.0827 / -0.0379 / +0.0247 / +0.1028 / -0.0797
GERM-BO w64/k3/top10/scale3,GERM-BO w64/k3 comp=0,test_accuracy,0.0006666666666666488,0.038243372701104124,-0.032933333333333356,0.023933333333333317,0.6,+0.0203 / -0.0647 / +0.0183 / +0.0303 / -0.0010
GERM-BO w64/k3/top10/scale3,GERM-BO w64/k3 comp=0,test_macro_f1,-0.011195156059653877,0.06571859783273236,-0.06782802873098837,0.03249359198601809,0.6,-0.0285 / -0.1184 / +0.0192 / +0.0444 / +0.0272
GERM-BO w64/k3/top10/scale3,GERM-BO w64/k3 shuffled metadata,test_accuracy,-0.02233333333333335,0.04800289343131076,-0.06160000000000002,0.014933333333333321,0.2,-0.0307 / -0.0930 / -0.0113 / +0.0410 / -0.0177
GERM-BO w64/k3/top10/scale3,GERM-BO w64/k3 shuffled metadata,test_macro_f1,-0.050807794176057325,0.09361094478994123,-0.12105877224998164,0.01944318389786699,0.2,-0.1495 / -0.1335 / -0.0393 / +0.0784 / -0.0101
