benchmark,method,label,family,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,per_seed_accuracy,per_seed_macro_f1
splice_sites_all_larger,kmer_logreg,3-mer Logistic Regression,traditional_kmer,5,0.43179999589920043,0.0007673903598799502,0.4293047904087451,0.0007560138277800303,0.4310 / 0.4327 / 0.4320 / 0.4323 / 0.4310,0.4285 / 0.4302 / 0.4295 / 0.4298 / 0.4285
splice_sites_all_larger,kmer_linear_svm,3-mer Linear SVM,traditional_kmer,5,0.42573333978652955,0.0019493582329758055,0.425913213546535,0.0019144352341597534,0.4263 / 0.4283 / 0.4233 / 0.4243 / 0.4263,0.4266 / 0.4284 / 0.4235 / 0.4246 / 0.4266
splice_sites_all_larger,splice_sites_all_quantile_germ_bo_quantile_q08_12_comp027,"GERM-BO quantile [0.8,1.2] comp0.27",dnabert2_germ_bo,5,0.41473333333333334,0.04468494650824195,0.37157831943125824,0.0803585922343189,0.4797 / 0.4380 / 0.4030 / 0.3857 / 0.3673,0.4682 / 0.4233 / 0.3379 / 0.3696 / 0.2590
splice_sites_all_larger,kmer_nearest_centroid,3-mer Nearest Centroid,traditional_kmer,5,0.3863333463668823,0.0,0.365155669876887,0.0,0.3863 / 0.3863 / 0.3863 / 0.3863 / 0.3863,0.3652 / 0.3652 / 0.3652 / 0.3652 / 0.3652
splice_sites_all_larger,kmer_multinomial_nb,3-mer Multinomial NB,traditional_kmer,5,0.3866666555404663,0.0,0.35397444722247956,0.0,0.3867 / 0.3867 / 0.3867 / 0.3867 / 0.3867,0.3540 / 0.3540 / 0.3540 / 0.3540 / 0.3540
splice_sites_all_larger,splice_sites_all_larger_w64k3_heldout_germ_bo_center_w64_k3_t10_s3,GERM-BO w64/k3/top10/scale3,dnabert2_germ_bo,5,0.39953333333333335,0.03715478135822869,0.3530565275302984,0.07412939998134349,0.3867 / 0.4610 / 0.3850 / 0.3627 / 0.4023,0.3855 / 0.4612 / 0.3131 / 0.2668 / 0.3387
splice_sites_all_larger,splice_sites_all_larger_ablation_lora_attention_output_classifier,LoRA attention.output + classifier,dnabert2_lora_baseline,5,0.4002,0.005570756980279538,0.34186137147064455,0.021422304102183383,0.4070 / 0.3963 / 0.4033 / 0.3930 / 0.4013,0.3570 / 0.3428 / 0.3323 / 0.3112 / 0.3659
splice_sites_all_larger,splice_sites_all_larger_ablation_germ_bo_w64k3_comp0,GERM-BO w64/k3 comp=0,mechanism_ablation,5,0.4002,0.005570756980279538,0.34186137147064455,0.021422304102183383,0.4070 / 0.3963 / 0.4033 / 0.3930 / 0.4013,0.3570 / 0.3428 / 0.3323 / 0.3112 / 0.3659
splice_sites_all_larger,splice_sites_all_larger_ablation_germ_bo_w64k3_shuffled,GERM-BO w64/k3 shuffled metadata,mechanism_ablation,5,0.3772,0.018047160441465586,0.3022487333542411,0.04579090532227225,0.3560 / 0.3680 / 0.3737 / 0.4037 / 0.3847,0.2360 / 0.3277 / 0.2738 / 0.3452 / 0.3286
splice_sites_all_larger,splice_sites_all_larger_w64k3_heldout_baseline_lora,Baseline LoRA full target set,dnabert2_lora,5,0.3853333333333333,0.03704126827682275,0.3015960884229204,0.09007318663622094,0.3740 / 0.3333 / 0.4287 / 0.3783 / 0.4123,0.2848 / 0.1667 / 0.3989 / 0.2899 / 0.3676
splice_sites_all_larger,splice_sites_all_larger_ablation_lora_wqkv_classifier,LoRA Wqkv + classifier,dnabert2_lora_baseline,5,0.3714,0.03725840695586552,0.28336953877201737,0.10772728265693217,0.4100 / 0.3337 / 0.3330 / 0.3750 / 0.4053,0.3734 / 0.1797 / 0.1690 / 0.2913 / 0.4034
splice_sites_all_larger,splice_sites_all_larger_linear_probe,DNABERT-2 frozen linear probe,dnabert2_probe,5,0.34326666666666666,0.00406475364840505,0.20348030164121295,0.009893861812776865,0.3493 / 0.3387 / 0.3417 / 0.3417 / 0.3450,0.2181 / 0.1934 / 0.1984 / 0.1988 / 0.2087
splice_sites_all_larger,splice_sites_all_larger_ablation_lora_classifier_only,LoRA classifier only,dnabert2_lora_baseline,5,0.33686666666666665,0.001643167672515507,0.18577673009811868,0.006364185366691938,0.3397 / 0.3363 / 0.3363 / 0.3367 / 0.3353,0.1953 / 0.1833 / 0.1829 / 0.1886 / 0.1788
