benchmark,method,label,seed,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
splice_sites_all_larger,baseline_lora,Baseline LoRA,45,0.37166666666666665,0.2828198204412409,0.374,0.2848331662066459
splice_sites_all_larger,baseline_lora,Baseline LoRA,46,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
splice_sites_all_larger,baseline_lora,Baseline LoRA,47,0.43,0.40176838042310953,0.42866666666666664,0.3988963641361066
splice_sites_all_larger,baseline_lora,Baseline LoRA,48,0.37166666666666665,0.28382811214443326,0.37833333333333335,0.2899386852022001
splice_sites_all_larger,baseline_lora,Baseline LoRA,49,0.40555555555555556,0.35833057377927346,0.41233333333333333,0.36764555990298287
splice_sites_all_larger,germ_bo_center_w64_k3_t10_s3,GERM-BO center-JSD w64 k3 top10 scale3,45,0.37777777777777777,0.37871502878279334,0.38666666666666666,0.3854811826997473
splice_sites_all_larger,germ_bo_center_w64_k3_t10_s3,GERM-BO center-JSD w64 k3 top10 scale3,46,0.4683333333333333,0.4678377815756698,0.461,0.46119045540643705
splice_sites_all_larger,germ_bo_center_w64_k3_t10_s3,GERM-BO center-JSD w64 k3 top10 scale3,47,0.40055555555555555,0.32312022179207234,0.385,0.31311162383400665
splice_sites_all_larger,germ_bo_center_w64_k3_t10_s3,GERM-BO center-JSD w64 k3 top10 scale3,48,0.3761111111111111,0.27985750381306584,0.3626666666666667,0.266838578305896
splice_sites_all_larger,germ_bo_center_w64_k3_t10_s3,GERM-BO center-JSD w64 k3 top10 scale3,49,0.38166666666666665,0.32409867673379816,0.4023333333333333,0.338660797405405
