comparison,metric,mean_delta,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,per_seed_delta
germ_bo_w48_k2_t025_train_quantile_r07_13_minus_lora_attention_output_classifier,test_accuracy,0.01273333333333333,0.04721781678796916,-0.0248,0.0484,0.6,-0.0190 / +0.0760 / -0.0460 / +0.0197 / +0.0330
germ_bo_w48_k2_t025_train_quantile_r07_13_minus_lora_attention_output_classifier,test_macro_f1,-0.006830191501799354,0.11838762816479459,-0.1040863126178646,0.0863511052334224,0.4,-0.0565 / +0.1463 / -0.1711 / +0.0493 / -0.0022
germ_bo_w48_k2_t05_train_quantile_r07_13_minus_lora_attention_output_classifier,test_accuracy,0.0314,0.039577210052700214,-0.002399999999999991,0.06053333333333333,0.8,+0.0067 / +0.0487 / +0.0573 / -0.0253 / +0.0697
germ_bo_w48_k2_t05_train_quantile_r07_13_minus_lora_attention_output_classifier,test_macro_f1,0.03902118408927181,0.0762789824981187,-0.028208961570119533,0.09335576594305761,0.6,-0.0019 / +0.1246 / +0.0694 / -0.0710 / +0.0740
germ_bo_w64_k2_t025_train_quantile_r07_13_minus_lora_attention_output_classifier,test_accuracy,0.008933333333333338,0.03182451884946574,-0.016000000000000004,0.03426666666666667,0.8,-0.0357 / +0.0150 / +0.0003 / +0.0120 / +0.0530
germ_bo_w64_k2_t025_train_quantile_r07_13_minus_lora_attention_output_classifier,test_macro_f1,0.014640854407947407,0.08853218668307193,-0.0521532333862305,0.08391953588895032,0.6,-0.0958 / +0.1452 / -0.0231 / +0.0070 / +0.0398
germ_bo_w48_k2_t025_train_quantile_r07_13_minus_germ_bo_quantile_q08_12_comp027,test_accuracy,-0.02366666666666668,0.029177616992025476,-0.04826666666666668,-0.0024666666666666726,0.2,-0.0407 / -0.0107 / -0.0633 / -0.0163 / +0.0127
germ_bo_w48_k2_t025_train_quantile_r07_13_minus_germ_bo_quantile_q08_12_comp027,test_macro_f1,-0.07937219926299155,0.04718777459470897,-0.11908068769230318,-0.04594072111146852,0.0,-0.0925 / -0.0737 / -0.1527 / -0.0449 / -0.0331
germ_bo_w48_k2_t05_train_quantile_r07_13_minus_germ_bo_quantile_q08_12_comp027,test_accuracy,-0.005000000000000016,0.04832068800098866,-0.04273333333333336,0.03273333333333332,0.4,-0.0150 / -0.0380 / +0.0400 / -0.0613 / +0.0493
germ_bo_w48_k2_t05_train_quantile_r07_13_minus_germ_bo_quantile_q08_12_comp027,test_macro_f1,-0.03352082367192039,0.10222574125356759,-0.11432226411617383,0.04480176031968421,0.4,-0.0380 / -0.0954 / +0.0878 / -0.1652 / +0.0432
germ_bo_w64_k2_t025_train_quantile_r07_13_minus_germ_bo_quantile_q08_12_comp027,test_accuracy,-0.027466666666666674,0.040568597598525775,-0.057866666666666663,0.004733333333333334,0.2,-0.0573 / -0.0717 / -0.0170 / -0.0240 / +0.0327
germ_bo_w64_k2_t025_train_quantile_r07_13_minus_germ_bo_quantile_q08_12_comp027,test_macro_f1,-0.05790115335324479,0.058945535460928074,-0.10253506961225993,-0.013013749038050748,0.2,-0.1318 / -0.0748 / -0.0047 / -0.0871 / +0.0089
